"Vehicle Position History List",,,,,,,,
,,,,,,,,
Selection Criteria:,,,,,,,,
,,,,,,,,
Vehicle ID: 1022534,,,,,,,,
From Date: 07/22/14 00:00:00  CDT,,,,,,,,
To Date: 07/29/14 23:59:59  CDT,,,,,,,,
Granularity (minutes): 60,,,,,,,,
,,,,,,,,
Position Time,Location,Ignition Status,Position Latitude,Position Longitude,Speed,Direction,Trip Status,Odometer
07/29/14 16:42:54  CDT,".95 miles N of Exxon Mobil - North in Houston, TX",On,29.9012,-95.41245,56,South,In,138480
07/29/14 15:41:37  CDT,"4.80 miles NNE of Lloyd Yard in Spring, TX",On,30.13962,-95.38194,0,Southwest,Out,138458.7
07/29/14 14:38:34  CDT,"9.24 miles N of Lloyd Yard in Spring, TX",On,30.20787,-95.43361,0,East,Unknown,138445.9
07/29/14 13:38:32  CDT,"At Noble Energy in Houston, TX",On,29.94838,-95.41722,0,East,Unknown,138425.2
07/29/14 12:36:19  CDT,".66 miles W of Conroe, TX",On,30.28041,-95.4693,58,East,Unknown,138401.1
07/29/14 11:35:08  CDT,"3.76 miles ESE of Montgomery, TX",On,30.37055,-95.62745,0,Northeast,Unknown,138386.5
07/29/14 10:31:56  CDT,".38 miles E of Conroe, TX",On,30.2824,-95.43523,33,West,Unknown,138370.9
07/29/14 09:27:06  CDT,"5.62 miles NNW of Lloyd Yard in Spring, TX",On,30.15407,-95.43745,0,Southeast,Out,138357.3
07/29/14 08:27:03  CDT,".35 miles SSE of Noble Energy in Houston, TX",On,29.94185,-95.41365,43,Northwest,In,138341.8
07/29/14 07:26:44  CDT,"At Kinder Morgan Pasadena Tx in Pasadena, TX",Off,29.71768,-95.18342,0,Southeast,Out,138309.5
07/29/14 06:24:48  CDT,"At Kinder Morgan Pasadena Tx in Pasadena, TX",On,29.71796,-95.1837,0,South,Unknown,138309.5
07/28/14 23:44:35  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30504,0,North,Out,138294.8
07/28/14 22:44:25  CDT,"At SCRI - Houston in Houston, TX",Off,29.8024,-95.30504,0,North,Out,138294.8
07/28/14 21:29:33  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30499,0,South,Out,138294.8
07/28/14 20:29:31  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30504,0,South,Out,138294.8
07/28/14 19:29:20  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30499,0,South,Out,138294.8
07/28/14 18:29:18  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30499,0,South,Out,138294.8
07/28/14 17:29:16  CDT,"9.12 miles ENE of Lloyd Yard in Spring, TX",On,30.11236,-95.26527,21,Southeast,In,138268.9
07/28/14 16:29:15  CDT,"1.17 miles SSE of Cut And Shoot, TX",On,30.3368,-95.41458,0,South,Out,138248.5
07/28/14 15:26:55  CDT,"1.19 miles WNW of Lloyd Yard in Spring, TX",On,30.07388,-95.43569,54,North,Unknown,138227.2
07/28/14 14:26:53  CDT,".15 miles SE of Noble Energy in Houston, TX",On,29.94467,-95.41458,0,Southeast,Unknown,138218.1
07/28/14 13:22:39  CDT,"1.96 miles W of Noble Energy in Houston, TX",On,29.94652,-95.45083,0,South,Unknown,138214.6
07/28/14 12:21:17  CDT,"2.65 miles NNW of Conroe, TX",On,30.32324,-95.47444,69,Southeast,Unknown,138184.2
07/28/14 11:18:25  CDT,"3.89 miles WSW of Cut And Shoot, TX",On,30.34328,-95.50037,50,South,Unknown,138171.6
07/28/14 10:14:52  CDT,"2.25 miles SSE of Cut And Shoot, TX",On,30.31921,-95.41717,0,Northwest,Unknown,138160.6
07/28/14 09:13:38  CDT,"9.68 miles WNW of Lloyd Yard in Spring, TX",On,30.13949,-95.55944,0,West,Out,138139.3
07/28/14 08:13:35  CDT,"6.18 miles W of Lloyd Yard in Spring, TX",On,30.07499,-95.51925,0,West,Out,138129.5
07/28/14 07:13:32  CDT,"2.34 miles ESE of Noble Energy in Houston, TX",On,29.93898,-95.37828,53,West,In,138112.6
07/28/14 06:13:32  CDT,"At Kinder Morgan Pasadena Tx in Pasadena, TX",On,29.71759,-95.18291,9,North,Unknown,138082
07/27/14 18:24:44  CDT,"At SCRI - Houston in Houston, TX",On,29.8024,-95.30435,0,North,Out,138067.3
07/27/14 17:10:59  CDT,"At SCRI - Houston in Houston, TX",Off,29.80245,-95.30435,0,North,Out,138067.3
07/27/14 16:10:51  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30439,0,South,Out,138067.3
07/27/14 15:10:50  CDT,"At SCRI - Houston in Houston, TX",Off,29.80236,-95.30439,0,South,Out,138067.3
